likes,dislikes,comment_count,views
33966,798,882,1096327
829362,61195,101117,35885754
7861,68,364,249423
12397,449,385,696515
3931,390,640,269593
3218,222,517,181117
566,66,76,103665
4711,263,416,194888
285,16,18,14480
41670,1409,1545,1651358
853550,62858,102740,37533416
8740,80,480,300412
946,35,26,50655
1367,39,250,23942
4088,417,683,289853
46159,1807,2224,2035734
1218,53,34,79345
865914,63908,103907,38664360
1126,182,22,536684
1892,42,121,45311
8992,82,431,321020
3492,306,317,169002
32186,455,4166,1251180
4131,262,385,323829
1426,64,41,101712
7166,557,0,509664
7017,523,611,617545
3838,122,237,136966
2550,183,179,219815
14710,490,537,844903
157935,2072,23205,4746854
9416,780,0,780132
514,153,32,273326
12442,886,1174,1089539
4262,146,246,167312
4025,224,367,181493
283197,6202,13116,9779219
1179,30,233,39850
2796,212,213,266225
262450,4684,35129,9920833
62485,2582,5730,3098960
18847,694,658,1414795
10388,903,0,935592
662,219,0,374703
17047,1215,1798,1470325
4419,153,264,177766
523,37,34,62274
4683,258,397,214976
1255,30,249,45239
114957,6844,9965,10003191
332272,6789,42047,14478580
20807,836,1380,1707151
11198,984,0,1046826
753,254,0,444215
20010,1383,2130,1751244
609,49,41,79809
22942,1590,2314,1609627
388,6,21,40712
149362,10549,12849,15940901
369519,7892,45240,17613871
21641,905,1439,1855500
813,284,0,490187
11802,1051,0,1148239
608,12,37,69060
149363,10549,12849,15940901
369519,7892,45240,17613871
21641,905,1439,1855500
813,284,0,490187
11802,1051,0,1148239
174903,13660,5249,20983467
12066,352,482,312817
395711,8694,46761,19999878
12031,1109,1602,241769
765,332,93,372786
3896,266,524,137104
22010,932,1227,1935364
59,76,11,103783
43567,927,5865,1586719
978,19,64,115920
12164,1105,0,1225976
44070,3689,2968,766469
195755,16353,4474,25426287
16697,1703,2185,414409
17825,619,686,647516
3602,75,215,69677
4673,383,624,220069
919,418,105,537892
410051,9540,45689,22118673
177,60,28,28964
22239,953,1236,1986439
3069,214,292,135872
47240,1156,5700,1861361
1198,24,92,145995
54523,4824,4038,1259660
19948,2084,2786,534123
19861,717,723,780968
212701,18515,4177,29399888
5582,144,300,165376
3966,183,187,175865
1826,114,154,76762
5011,439,701,264572
242,105,39,50911
1891,179,254,45534
554,179,39,239904
421289,11173,46619,26072307
52071,2051,2523,1239553
22397,575,792,740906
58431,5414,4351,1497271
21143,778,576,899381
21049,2207,2982,585842
2153,151,179,110812
224471,20488,4171,32832019
6712,188,359,223787
2257,232,332,71087
2319,325,232,81780
6134,361,280,427507
282,134,48,63567
431134,12821,47119,29964922
27544,834,942,1161106
62867,2754,3040,1921959
60470,5744,4435,1701919
21563,792,609,940816
2677,384,282,119280
21702,2264,3135,617367
1531,38,566,54992
230576,21904,4858,35702242
2244,162,185,122398
7364,201,369,263962
6835,423,277,518533
1643,83,313,31432
31205,1066,1141,1430769
69388,3208,3418,2317140
61538,5912,4427,1857501
970,23,80,63478
2112,84,73,62834
2831,407,293,138420
1745,55,590,74767
2000,79,178,140849
33872,1241,1218,1641669
73964,3481,3545,2613792
2405,101,77,83847
369,25,11,37150
62174,6023,4580,2025910
42666,597,4351,1080388
51860,831,1400,994404
2625,117,240,200863
35858,1319,1268,1795795
521,37,20,61085
2504,107,77,91281
54133,883,5178,1644841
3724,300,646,108252
36994,2137,4048,1752831
67254,1342,1886,1595682
3206,131,329,249608
3703,133,463,58952
37184,1371,1294,1908682
180,68,59,66424
71,23,3,59527
49452,2641,4983,2096711
607,40,29,75672
73177,1528,2195,1887109
4143,156,520,86590
879,61,42,41444
8251,727,526,183371
112,35,4,119410
540,279,79,394417
3489,137,320,288004
2600,285,247,180853
31589,2391,2200,3751723
76279,1626,2370,2048343
4267,384,474,209478
7796,177,394,240593
9375,784,1407,221775
997,78,53,53892
9114,917,624,272842
123,38,5,135661
4311,174,510,100726
688,371,65,521520
39076,3271,3184,5609894
7072,599,841,319552
12053,282,558,461911
5321,574,573,374055
78285,1690,2428,2164008
10282,879,1690,256088
9344,997,671,299407
34,27,7,44379
833,460,66,630895
7667,987,765,360057
44059,3966,2292,7042061
7612,667,921,370755
14520,338,597,593576
4755,239,201,323863
6078,705,648,480671
10867,954,1753,282132
79804,1752,2450,2251292
9527,1039,824,320904
47578,4474,1704,8165906
4052,402,420,777123
5343,298,194,420707
6387,748,689,528199
7870,704,957,398034
4878,515,428,207545
5324,635,442,1106066
49951,4874,1174,9001206
5800,321,198,479682
49092,3030,3225,814890
6676,864,545,1437840
5942,722,544,346658
1838,147,140,78036
1566,91,467,48070
58299,3762,3885,1259653
2911,151,225,116954
1824,110,545,67299
6504,821,584,416852
7027,908,557,1544363
18955,1313,1956,1497951
61232,4078,4031,1469118
27232,2170,2646,3232661
34141,5033,12277,4532571
3356,175,263,161041
2341,84,96,99116
4522,383,363,167870
1999,176,228,107001
1492,53,528,56000
1656,34,83,53350
3484,312,132,372593
43003,6229,13915,5224168
62885,4268,4367,1594613
33114,2864,1056,4679544
4203,63,166,191429
3513,192,273,174340
5660,513,437,258669
2257,56,111,83772
17896,1651,4323,590004
2162,205,254,122504
5121,609,258,730789
501,154,170,123539
47679,6866,11184,5721665
37200,3437,913,5878460
234,46,23,85231
6240,115,257,339405
20726,1757,1002,657768
2945,86,128,123994
6217,595,453,308851
3578,195,237,180846
19854,1814,4587,729856
65738,909,3365,1106464
6220,824,335,976508
735,139,72,176251
618,201,191,160978
50247,7174,11780,5952978
39809,3830,723,6701093
7045,148,276,400528
22203,1981,1078,760906
79472,1264,3709,1628292
33231,1648,2509,1070885
4353,352,410,204048
7124,971,363,1143928
940,191,83,232223
12487,833,574,391570
41349,4101,1120,7226200
15604,1254,2177,2110582
648,213,197,172305
39074,2652,2282,1683967
84812,1472,3322,1886897
5063,444,457,307363
6476,378,1,515140
24081,2247,3310,3819497
1901,15,72,58398
622,236,61,306045
790,123,40,232954
1382,18,264,29086
20200,1074,910,505392
42285,3290,2643,2087124
88552,1600,4247,2082603
955,401,92,556806
2613,35,96,107575
7037,419,10,600161
1752,26,336,45133
4513,178,325,156825
5320,474,375,346412
878,150,44,279702
30047,1868,1408,1003977
43987,3673,3833,2364818
18147,1383,1364,1410757
2988,336,376,358435
5621,491,455,213617
91655,1695,4335,2284026
3860,110,245,81265
5916,235,134,237269
3455,48,141,179599
1122,479,110,684950
26882,2518,1793,3405786
33681,2194,1649,1268022
6802,640,490,315150
44804,3839,3873,2526833
908,30,49,57529
4634,151,286,114181
3034,360,407,377403
1561,165,43,281382
93273,1743,4475,2403622
647,234,64,321111
31197,3274,2375,4820975
35374,2355,1746,1404577
7222,704,553,353105
2203,270,76,485777
5093,176,298,133697
3047,363,408,377403
1896,62,95,187686
109167,2557,5522,6057662
1353,495,149,560652
33987,3828,822,5848764
571,235,89,296727
36434,2466,1783,1496570
3100,406,105,745689
27008,643,3039,827325
7715,780,429,402331
137628,3633,6786,7729776
1179,400,0,452077
1999,778,218,861203
1316,660,201,775707
35262,4108,913,6429292
1933,342,97,523861
376,126,22,203459
1525,34,309,47303
3752,284,316,167092
3489,188,115,252976
25079,1669,3840,1557418
2683,105,137,299019
62,39,13,31866
35046,948,3829,1274141
158041,4379,7590,9020624
10200,3977,1209,567845
1443,539,0,673559
2428,979,285,1072977
1713,939,266,1047772
2133,281,89,459879
58,34,9,32913
1886,46,374,72371
967,76,139,70421
35949,4284,548,6766014
9240,1697,1104,467894
1174,505,200,567598
12921,5259,1481,920772
2315,1034,439,1060154
171460,4899,7675,10096111
5458,261,288,143999
2720,403,125,696163
1585,606,0,786109
2163,152,338,97030
2203,119,63,132866
3233,1597,491,2001306
10932,2025,1249,593668
3100,1408,577,1533893
14847,6033,1711,1149650
179729,5288,7910,10860875
4170,279,288,156262
9648,731,831,878789
2369,189,519,119317
2329,419,112,865743
5971,284,309,171446
363,52,15,89003
2477,165,78,166901
1685,656,0,874007
1626,172,345,145559
2474,102,111,144797
1560,58,106,96206
1004,106,34,160862
4490,2263,897,2947793
0,0,0,300744
13592,1271,1109,1934253
11488,2184,1364,652130
2756,347,545,353195
3403,1582,665,1757675
15990,6454,1770,1309207
4935,370,351,234815
499,79,22,141781
1060,148,40,352531
184447,5556,8069,11386061
3048,768,0,1022432
2458,214,530,130912
6151,294,316,182900
2610,185,85,189889
1741,686,0,916174
2611,115,111,163956
0,0,0,962782
5474,2745,1143,3670263
15679,1580,991,2643399
8765,168,278,231918
4006,1092,0,1489986
1330,198,44,396261
3032,398,597,410676
11710,2250,1427,676298
3561,1645,660,1859108
5227,399,381,274333
2363,119,250,50411
188036,5800,8183,11801227
633,98,0,181977
0,0,189,1383667
13066,279,365,418774
29445,1285,953,1608102
16193,4571,2408,3847190
1063,396,139,556256
17219,1815,1141,3205244
2018,34,72,53915
1764,305,61,613929
4832,1382,0,1844018
269,50,10,63830
3236,450,628,462451
367,61,31,56838
11797,2290,1357,688076
0,0,292,1617944
36632,1770,1201,2569153
20698,6209,2912,5643806
14944,349,460,514890
1357,653,175,702456
4776,477,455,208941
4356,90,156,689218
429,113,43,142655
1453,622,206,868173
18162,1956,1190,3566946
2243,414,0,658892
1703,282,104,549865
178,138,0,83827
40583,2067,1318,3139107
1749,924,251,1047143
0,0,374,1814646
535,633,0,304596
15838,387,479,570018
5652,620,500,316608
5207,111,193,1182065
983,365,125,409341
520,135,46,179615
3605,213,343,42912
40776,2392,1712,1064477
12985,1658,1497,975196
2777,98,142,81492
43364,2329,1407,3621035
2733,84,69,88752
2154,1176,295,1292467
10881,249,403,290307
1110,1478,0,707965
223,63,20,77527
1506,636,190,736520
3931,174,247,129428
0,0,483,1958987
16165,400,485,594470
5947,660,546,352696
5684,130,28,1273673
54970,3269,2232,1817834
21936,3412,2646,2828972
5284,320,355,148934
3209,121,166,110595
13910,348,542,469071
595,276,68,443397
3530,111,85,134458
45293,2496,1417,4017379
383,241,83,191405
1827,830,246,939766
1237,1723,0,811893
1780,67,307,51241
4448,223,281,159506
60540,3677,2444,2189462
26146,4441,3173,3966516
2522,1227,350,1221130
13027,618,622,773072
6313,417,391,225768
6042,772,816,207668
2674,129,552,51524
668,313,79,526046
14876,381,567,536721
3330,127,172,119763
3921,122,91,175152
82,21,4,52471
4596,238,288,168935
3153,609,0,767528
124005,24907,10637,2398555
64530,3900,2596,2462051
29221,5248,1962,4949638
15812,883,715,1245531
3765,1951,546,1998460
10004,207,228,331263
7724,960,879,339933
3905,246,858,72086
6767,468,403,260164
3694,784,0,1017783
1854,136,207,34073
1789,118,491,40576
164512,31482,12792,6309136
12877,277,174,479412
5112,711,357,207204
31410,5805,749,5631338
17060,1046,773,1535047
1017,150,0,195420
560,78,35,149948
253,43,22,63881
11078,1434,1131,407477
1247,14,55,43554
399,58,37,35641
182990,34486,14014,7575788
6324,1058,468,344369
2182,39,93,101830
13599,295,183,521429
762,119,51,239335
1262,238,0,321393
11721,467,372,754418
32955,6214,925,6199612
328,54,25,83116
1167,195,55,403159
13140,1648,1295,560536
194470,36400,15090,8527126
5744,71,201,217443
7085,553,409,177154
6889,1257,411,426531
426,22,39,49114
2412,49,104,123883
872,149,57,291130
9786,1254,1581,638788
13933,305,300,546610
1331,270,0,362099
12290,549,370,933402
201915,37614,15598,9257830
5284,170,181,221433
7426,102,250,359993
2247,100,139,54702
7230,1316,449,473620
660,49,56,78786
8090,240,331,408489
4816,400,397,223846
206350,38549,15914,9750403
230,85,10,131451
3015,145,150,175116
8001,119,271,413629
527,103,42,223303
2728,121,219,30810
1567,306,0,508799
2736,122,152,72744
1154,259,0,286650
10343,1171,1018,468063
6207,589,492,380748
9013,277,367,497600
895,189,77,402450
336,141,15,221015
208506,39000,16178,10099242
3878,226,172,298258
1889,601,0,590374
12005,1340,1165,670717
7014,692,536,477861
9475,287,319,544314
1149,268,105,532840
412,181,17,294292
2220,54,292,40431
4111,249,187,341154
2635,938,0,986114
15261,1123,938,538824
4007,80,241,230893
1005,468,91,454605
849,130,109,172631
1430,83,115,55646
408,52,32,59143
3007,1427,427,805894
12137,1180,1060,379856
20392,1595,1167,894194
7082,199,384,590275
3142,112,187,131101
1385,820,174,782743
1700,404,413,210541
1737,189,146,151920
1468,195,228,53725
1250,176,148,255877
3573,1692,431,1146912
2561,166,198,60183
13233,1414,1162,449557
22520,1767,1214,1051624
4128,362,317,200783
8138,272,447,742756
3497,139,198,162889
1598,1062,211,993707
2846,149,387,79821
1904,480,417,253220
1841,205,154,167214
1888,318,303,295319
3060,198,235,78748
24472,1951,1322,1203561
4702,430,349,280284
13644,1542,1203,481300
8669,306,439,855813
3618,146,201,176156
1882,1239,242,1188217
2023,540,421,287169
2961,163,460,87872
1856,206,137,171199
976,177,37,326976
6995,1243,802,383598
714,303,88,255818
4958,469,377,317142
13897,1628,1352,500043
9021,330,446,925297
3664,150,209,183634
5858,189,336,229464
1163,531,136,502697
1213,273,55,474208
1848,388,0,584496
7970,1359,886,505652
35419,615,3921,869784
2741,738,363,1025505
3406,144,183,169137
6293,723,519,350212
6858,308,369,369732
2239,509,0,748315
3383,124,340,135313
1297,303,58,536908
53910,1522,5874,2027554
6389,426,363,433611
4668,1177,650,2035725
7896,1078,596,577221
206,107,0,117071
2138,120,99,174012
7596,381,380,503801
